Number at Lngt

	Season	Q1			Q2			Q3			Q4
	Sex	Male	Female		Male	Female		Male	Female		Male	Female
	Lngt	Number	Number		Number	Number		Number	Number		Number	Number
	21	0.000	0.000		0.000	0.000		227.022	0.000		0.000	0.000
	22	0.000	0.000		0.000	0.000		300.029	0.000		0.000	0.000
	23	0.000	0.000		0.000	0.000		2508.239	2206.210		0.000	0.000
	24	1255.090	1110.525		6915.788	2979.160		18979.808	8338.794		6972.300	0.000
	25	6847.142	4372.008		20017.866	10326.421		39891.801	23940.281		13945.731	10596.314
	26	18533.939	6152.790		41012.105	16840.762		99740.503	52540.006		36356.535	19387.967
	27	35190.719	9485.461		54419.994	21864.968		170744.268	105992.098		45682.693	38491.166
	28	40734.583	10222.525		47469.732	20732.909		233498.246	113269.792		106967.743	63253.567
	29	37314.297	10361.614		28708.473	14373.141		173326.514	89387.516		122604.003	46120.015
	30	20322.388	6315.974		7780.957	5020.869		91511.719	45865.370		119636.537	43499.470
	31	5972.084	3237.388		3219.361	1774.819		44305.221	20547.958		67848.279	26685.717
	32	1807.067	0.000		562.693	748.404		22953.187	5254.501		31391.172	17170.843
	33	1178.427	393.174		473.730	0.000		13812.316	2799.267		8214.206	7115.814
	34	0.000	0.000		0.000	0.000		2231.213	0.000		0.000	0.000
