Number at Lngt

	Season	Q1			Q2			Q3			Q4
	Sex	Male	Female		Male	Female		Male	Female		Male	Female
	Lngt	Number	Number		Number	Number		Number	Number		Number	Number
	12	13956.795	0.000		0.000	0.000		0.000	0.000		0.000	0.000
	13	16348.856	0.000		0.000	0.000		0.000	0.000		0.000	0.000
	14	16348.856	0.000		0.000	0.000		0.000	0.000		4624.383	0.000
	15	14213.205	0.000		0.000	0.000		0.000	0.000		0.000	0.000
	17	8801.207	2816.123		0.000	0.000		0.000	0.000		0.000	0.000
	18	32697.713	19597.808		0.000	0.000		0.000	0.000		0.000	0.000
	19	46027.728	31200.894		0.000	0.000		1866.133	7079.503		0.000	0.000
	20	65395.425	42371.151		0.000	65.624		4577.325	14064.000		0.000	5792.909
	21	65395.425	117587.944		989.925	1631.707		26502.884	63982.547		0.000	143046.213
	22	65395.425	184655.511		1811.896	11384.135		44722.178	79988.685		0.000	195252.464
	23	65395.425	254773.695		24757.017	21580.360		62621.451	96723.874		38145.506	249833.062
	24	65395.425	218031.503		35324.742	56999.646		74082.265	381877.140		55715.222	634496.486
	25	146142.558	276519.208		43378.726	85499.469		192332.669	615743.761		177673.707	734403.266
	26	163489.659	332057.106		44723.466	127115.239		227342.157	963282.461		203875.152	888774.244
	27	266877.547	339753.779		167315.083	222620.734		933881.372	1383307.313		299967.834	1089476.066
	28	290221.785	346963.932		181782.444	282496.723		1152601.917	1641907.692		342251.778	1011493.289
	29	348684.287	360654.455		503536.914	469599.178		1932429.340	2132213.538		688938.081	870691.461
	30	464661.452	219883.351		627121.792	531919.948		2295450.140	2401943.708		731702.319	866443.403
	31	757635.806	177686.427		882755.961	570543.698		3139349.117	2595049.433		901067.507	896820.579
	32	788623.025	152266.805		1166566.281	592907.100		3592459.320	3229335.512		965302.578	746501.022
	33	917601.475	154627.088		1467729.203	808462.663		4488107.974	3490528.075		1156068.532	640229.500
	34	886621.927	150570.556		1504402.023	783631.123		4820618.606	3208651.042		1233106.542	788862.943
	35	572026.977	87147.513		1892596.017	655522.622		5136981.090	1968347.892		1612433.618	964514.896
	36	805439.774	129777.265		1657626.806	800393.108		4691522.431	1773297.030		1554018.580	1177565.356
	37	730034.510	75922.467		2041812.161	833607.864		4186749.556	1545819.863		1341399.819	948943.203
	38	654147.107	74705.069		1778909.274	619699.581		3133979.735	855365.792		1179956.655	1055064.421
	39	407798.771	79325.922		1704318.999	399305.621		2424839.336	656379.650		1199533.434	725354.529
	40	404977.169	51022.238		1342404.727	393620.784		2035958.698	582002.363		894049.566	624747.085
	41	335493.434	26787.141		923647.640	212491.245		1638990.485	368438.185		767822.680	678404.388
	42	182529.721	7820.495		782646.760	129343.126		985142.015	224476.954		464550.425	336322.126
	43	145603.440	6655.694		501470.307	94926.000		730487.916	159170.312		480424.985	313366.338
	44	109010.273	3945.860		405828.002	54715.033		578732.131	111209.904		418751.859	177733.603
	45	84869.411	932.498		367869.392	35809.694		523041.173	92736.591		393840.993	30779.493
	46	86132.832	1374.093		218386.303	28176.151		482538.294	67198.776		375025.903	99654.767
	47	60363.659	18655.448		162095.176	20336.837		416430.596	65327.643		287624.846	23790.934
	48	44087.124	1369.710		152832.150	55910.729		280247.917	40135.852		175337.784	30573.814
	49	25988.326	233.399		92730.369	12490.849		229026.277	16537.175		136039.572	28617.605
	50	25756.023	0.000		58356.621	12600.964		224274.939	10009.711		125362.357	4383.671
	51	13133.873	0.000		29017.031	8665.735		143457.196	4914.349		104077.992	2191.270
	52	11257.919	0.000		31281.623	10711.208		128595.139	3081.219		90243.267	0.000
	53	13133.873	0.000		30860.071	1617.248		129011.169	2850.203		70216.707	2342.704
	54	5628.959	0.000		9277.486	2670.572		94869.742	2141.152		42706.603	0.000
	55	5628.959	0.000		8248.632	3402.449		73513.225	752.053		37713.807	0.000
	56	3753.005	0.000		5362.278	3145.514		52370.722	0.000		30578.335	0.000
	57	0.000	0.000		3217.812	0.000		36803.616	0.000		16937.988	0.000
	58	1875.955	0.000		1608.350	0.000		25343.801	0.000		9958.470	0.000
	59	0.000	0.000		536.117	0.000		23132.644	0.000		9289.449	0.000
	60	0.000	0.000		1072.233	536.117		17040.211	0.000		5970.336	0.000
	61	0.000	0.000		1072.233	0.000		5146.366	0.000		1994.632	0.000
	62	0.000	0.000		0.000	0.000		3286.234	0.000		2656.873	0.000
	63	0.000	0.000		0.000	0.000		2537.180	0.000		1987.852	0.000
	64	0.000	0.000		0.000	0.000		2231.159	0.000		0.000	0.000
	65	0.000	0.000		0.000	0.000		4813.342	0.000		669.021	0.000
	66	0.000	0.000		536.117	0.000		1519.108	0.000		1331.262	669.021
	67	0.000	0.000		0.000	0.000		1519.108	0.000		669.021	0.000
