"year","abundance","mean.density","confidence.interval"
1992,3661,0.126,376
1993,4450,0.156,569
1994,6170,0.222,814
1995,4987,0.178,896
1996,NA,NA,NA
1997,2767,0.096,510
1998,3838,0.133,717
1999,4146,0.148,649
2000,3628,0.126,491
2001,4981,0.17,970
2002,6087,0.215,757
2003,5547,0.2,1076
2004,5725,0.2,1030
2005,4325,0.156,662
2006,4862,0.17,619
2007,7017,0.252,730
2008,7360,0.259,1019
2009,5457,0.194,772
2010,5224,0.186,711
2011,3382,0.12,435
2012,2748,0.098,392
2013,2902,0.103,335
2014,2990,0.106,412
2015,2569,0.091,320
2016,4449,0.158,662
2017,7036,0.25,968
2018,5656,0.201,689
2019,6129,0.218,802
2020,4589,0.163,688
2021,6336,0.225,697
2022,5550,0.197,700
2023,4683,0.167,526
2024,3676,0.13,663
2025,4832,0.172,800
